#Depth Radius Vp Vs ρ Qµ Qκ P
2891.0 3480.0 8.06 0.00 9.90 0.0 57823.0 135.8
2971.0 3400.0 8.20 0.00 10.03 0.0 57823.0 144.2
3071.0 3300.0 8.36 0.00 10.18 0.0 57823.0 154.8
3171.0 3200.0 8.51 0.00 10.33 0.0 57823.0 165.2
3271.0 3100.0 8.66 0.00 10.47 0.0 57823.0 175.5
3371.0 3000.0 8.80 0.00 10.60 0.0 57823.0 185.7
3471.0 2900.0 8.93 0.00 10.73 0.0 57823.0 195.8
3571.0 2800.0 9.05 0.00 10.85 0.0 57823.0 205.7
3671.0 2700.0 9.17 0.00 10.97 0.0 57823.0 215.4
3771.0 2600.0 9.28 0.00 11.08 0.0 57823.0 224.9
3871.0 2500.0 9.38 0.00 11.19 0.0 57823.0 234.2
3971.0 2400.0 9.48 0.00 11.29 0.0 57823.0 243.3
4071.0 2300.0 9.58 0.00 11.39 0.0 57823.0 252.2
4171.0 2200.0 9.67 0.00 11.48 0.0 57823.0 260.8
4271.0 2100.0 9.75 0.00 11.57 0.0 57823.0 269.1
4371.0 2000.0 9.84 0.00 11.65 0.0 57823.0 277.1
4471.0 1900.0 9.91 0.00 11.73 0.0 57823.0 284.9
4571.0 1800.0 9.99 0.00 11.81 0.0 57823.0 292.3
4671.0 1700.0 10.06 0.00 11.88 0.0 57823.0 299.5
4771.0 1600.0 10.12 0.00 11.95 0.0 57823.0 306.2
4871.0 1500.0 10.19 0.00 12.01 0.0 57823.0 312.7
4971.0 1400.0 10.25 0.00 12.07 0.0 57823.0 318.9
5071.0 1300.0 10.31 0.00 12.12 0.0 57823.0 324.7
5149.5 1221.5 10.36 0.00 12.17 0.0 57823.0 329.0
